"Company","High","Hour","DateTime"
"BYND","74.49","09","2021-12-09 09:35:00"
"BYND","73.58","10","2021-12-09 10:05:00"
"BYND","71.56","11","2021-12-09 11:30:00"
"BYND","71.36","12","2021-12-09 12:55:00"
"BYND","71.31","13","2021-12-09 13:00:00"
"BYND","70.9","14","2021-12-09 14:05:00"
"BYND","70.39","15","2021-12-09 15:00:00"
"DDOG","185.95","09","2021-12-09 09:30:00"
"DDOG","180.14","10","2021-12-09 10:00:00"
"DDOG","181.55","11","2021-12-09 11:30:00"
"DDOG","178.99","12","2021-12-09 12:25:00"
"DDOG","178.33","13","2021-12-09 13:00:00"
"DDOG","178.06","14","2021-12-09 14:45:00"
"DDOG","177.44","15","2021-12-09 15:50:00"
"FB","335.24","09","2021-12-09 09:40:00"
"FB","336.13","10","2021-12-09 10:05:00"
"FB","335.69","11","2021-12-09 11:30:00"
"FB","334.71","12","2021-12-09 12:00:00"
"FB","333.46","13","2021-12-09 13:00:00"
"FB","332.81","14","2021-12-09 14:20:00"
"FB","331.4","15","2021-12-09 15:40:00"
"FB","331.4","15","2021-12-09 15:00:00"
"NFLX","630.15","09","2021-12-09 09:35:00"
"NFLX","623.29","10","2021-12-09 10:00:00"
"NFLX","619.88","11","2021-12-09 11:30:00"
"NFLX","618.97","12","2021-12-09 12:55:00"
"NFLX","617.99","13","2021-12-09 13:00:00"
"NFLX","616.24","14","2021-12-09 14:15:00"
"NFLX","615.05","15","2021-12-09 15:00:00"
"OKTA","242.57","09","2021-12-09 09:30:00"
"OKTA","238.75","10","2021-12-09 10:00:00"
"OKTA","235.35","11","2021-12-09 11:25:00"
"OKTA","232.27","12","2021-12-09 12:00:00"
"OKTA","231.21","13","2021-12-09 13:00:00"
"OKTA","230.4","14","2021-12-09 14:45:00"
"OKTA","229.75","15","2021-12-09 15:50:00"
"PINS","41.13","09","2021-12-09 09:30:00"
"PINS","40.83","10","2021-12-09 10:05:00"
"PINS","39.84","11","2021-12-09 11:30:00"
"PINS","39.75","12","2021-12-09 12:50:00"
"PINS","39.75","12","2021-12-09 12:45:00"
"PINS","39.64","13","2021-12-09 13:00:00"
"PINS","39.33","14","2021-12-09 14:05:00"
"PINS","39.07","15","2021-12-09 15:50:00"
"SHOP","1533.98","09","2021-12-09 09:35:00"
"SHOP","1523.46","10","2021-12-09 10:00:00"
"SHOP","1511.59","11","2021-12-09 11:30:00"
"SHOP","1502.86","12","2021-12-09 12:40:00"
"SHOP","1498.86","13","2021-12-09 13:00:00"
"SHOP","1499.9","14","2021-12-09 14:45:00"
"SHOP","1501.58","15","2021-12-09 15:00:00"
"SNAP","53.82","09","2021-12-09 09:35:00"
"SNAP","54.89","10","2021-12-09 10:05:00"
"SNAP","53.77","11","2021-12-09 11:30:00"
"SNAP","54.05","12","2021-12-09 12:35:00"
"SNAP","53.61","13","2021-12-09 13:00:00"
"SNAP","53.12","14","2021-12-09 14:05:00"
"SNAP","52.83","15","2021-12-09 15:50:00"
"SQ","194.53","09","2021-12-09 09:35:00"
"SQ","191.85","10","2021-12-09 10:05:00"
"SQ","190.69","11","2021-12-09 11:25:00"
"SQ","189.24","12","2021-12-09 12:00:00"
"SQ","188.68","13","2021-12-09 13:00:00"
"SQ","187.68","14","2021-12-09 14:20:00"
"SQ","187.48","15","2021-12-09 15:50:00"
"TTD","99.41","09","2021-12-09 09:35:00"
"TTD","98.47","10","2021-12-09 10:05:00"
"TTD","97.22","11","2021-12-09 11:30:00"
"TTD","96.5","12","2021-12-09 12:45:00"
"TTD","96.33","13","2021-12-09 13:00:00"
"TTD","95.41","14","2021-12-09 14:05:00"
"TTD","94.98","15","2021-12-09 15:45:00"
